id,pt,en,focus
41,"Estou a ver o ficheiro agora, sem pressa nenhuma.","I'm checking the file now, with no rush at all.",estou a
42,"Vale a pena ler um livro agora, ou esperamos um pouco?","Is it worth reading a book now, or do we wait a bit?",vale a pena
43,"Antes de sair, preciso de fazer uma lista com calma.","Before I go out, I need to make a list calmly.",preciso de
44,Hoje vou terminar o relatório e depois descansar um pouco.,Today I'll finish the report and then rest a bit.,depois
45,"Se tiver tempo, vou limpar a cozinha ainda hoje.","If I have time, I'll clean the kitchen today.",se tiver tempo
46,"Quando puderes, ajuda-me a mandar uma mensagem, por favor.","When you can, help me send a message, please.",por favor
47,"Hoje tenho de ver o documento, mas vou com calma.","Today I have to check the document, but I'll take it calmly.",tenho de
48,"Estou a ver um vídeo agora, sem pressa nenhuma.","I'm watching a video now, with no rush at all.",estou a
49,"Vale a pena dormir mais cedo agora, ou esperamos um pouco?","Is it worth going to sleep earlier now, or do we wait a bit?",vale a pena
50,"Antes de sair, preciso de confirmar a hora com calma.","Before I go out, I need to confirm the time calmly.",preciso de
51,Hoje vou arrumar a mala e depois descansar um pouco.,Today I'll pack the bag and then rest a bit.,depois
52,"Se tiver tempo, vou escrever a mensagem ainda hoje.","If I have time, I'll write the message today.",se tiver tempo
53,"Quando puderes, ajuda-me a explicar isto melhor, por favor.","When you can, help me explain this better, please.",por favor
54,"Hoje tenho de guardar o ficheiro, mas vou com calma.","Today I have to save the file, but I'll take it calmly.",tenho de
55,"Estou a organizar a secretária agora, sem pressa nenhuma.","I'm organizing the desk now, with no rush at all.",estou a
56,"Vale a pena marcar a reunião agora, ou esperamos um pouco?","Is it worth scheduling the meeting now, or do we wait a bit?",vale a pena
57,"Antes de sair, preciso de tomar notas com calma.","Before I go out, I need to take notes calmly.",preciso de
58,Hoje vou ouvir música e depois descansar um pouco.,Today I'll listen to music and then rest a bit.,depois
59,"Se tiver tempo, vou chegar bem ainda hoje.","If I have time, I'll arrive safely today.",se tiver tempo
60,"Quando puderes, ajuda-me a resolver o problema, por favor.","When you can, help me solve the problem, please.",por favor
61,"Hoje tenho de escrever o e-mail, mas vou com calma.","Today I have to write the email, but I'll take it calmly.",tenho de
62,"Estou a tomar notas agora, sem pressa nenhuma.","I'm taking notes now, with no rush at all.",estou a
63,"Vale a pena organizar a secretária agora, ou esperamos um pouco?","Is it worth organizing the desk now, or do we wait a bit?",vale a pena
64,"Antes de sair, preciso de confirmar a morada com calma.","Before I go out, I need to confirm the address calmly.",preciso de
65,Hoje vou rever a lição e depois descansar um pouco.,Today I'll review the lesson and then rest a bit.,depois
66,"Se tiver tempo, vou estudar português ainda hoje.","If I have time, I'll study Portuguese today.",se tiver tempo
67,"Quando puderes, ajuda-me a ver o ficheiro, por favor.","When you can, help me check the file, please.",por favor
68,"Hoje tenho de confirmar a hora, mas vou com calma.","Today I have to confirm the time, but I'll take it calmly.",tenho de
69,"Estou a estudar português agora, sem pressa nenhuma.","I'm studying Portuguese now, with no rush at all.",estou a
70,"Vale a pena fazer uma lista agora, ou esperamos um pouco?","Is it worth making a list now, or do we wait a bit?",vale a pena
71,"Antes de sair, preciso de mandar uma mensagem com calma.","Before I go out, I need to send a message calmly.",preciso de
72,Hoje vou ver um filme e depois descansar um pouco.,Today I'll watch a movie and then rest a bit.,depois
73,"Se tiver tempo, vou ouvir a rádio ainda hoje.","If I have time, I'll listen to the radio today.",se tiver tempo
74,"Quando puderes, ajuda-me a organizar a agenda, por favor.","When you can, help me organize the schedule, please.",por favor
75,"Hoje tenho de escrever a mensagem, mas vou com calma.","Today I have to write the message, but I'll take it calmly.",tenho de
76,"Estou a ouvir música agora, sem pressa nenhuma.","I'm listening to music now, with no rush at all.",estou a
77,"Vale a pena mandar uma mensagem agora, ou esperamos um pouco?","Is it worth sending a message now, or do we wait a bit?",vale a pena
78,"Antes de sair, preciso de ver a agenda com calma.","Before I go out, I need to check the schedule calmly.",preciso de
79,Hoje vou mandar uma mensagem e depois descansar um pouco.,Today I'll send a message and then rest a bit.,depois
80,"Se tiver tempo, vou pensar nisso ainda hoje.","If I have time, I'll think about it today.",se tiver tempo
81,"Quando puderes, ajuda-me a dar um exemplo, por favor.","When you can, help me give an example, please.",por favor
82,"Hoje tenho de marcar a reunião, mas vou com calma.","Today I have to schedule the meeting, but I'll take it calmly.",tenho de
83,"Estou a ouvir a rádio agora, sem pressa nenhuma.","I'm listening to the radio now, with no rush at all.",estou a
84,"Vale a pena ouvir música agora, ou esperamos um pouco?","Is it worth listening to music now, or do we wait a bit?",vale a pena
85,"Antes de sair, preciso de carregar o telefone com calma.","Before I go out, I need to charge the phone calmly.",preciso de
86,Hoje vou seguir em frente e depois descansar um pouco.,Today I'll move forward and then rest a bit.,depois
87,"Se tiver tempo, vou ver um vídeo ainda hoje.","If I have time, I'll watch a video today.",se tiver tempo
88,"Quando puderes, ajuda-me a fazer uma lista, por favor.","When you can, help me make a list, please.",por favor
89,"Hoje tenho de limpar a cozinha, mas vou com calma.","Today I have to clean the kitchen, but I'll take it calmly.",tenho de
90,"Estou a terminar o relatório agora, sem pressa nenhuma.","I'm finishing the report now, with no rush at all.",estou a
91,"Vale a pena estudar português agora, ou esperamos um pouco?","Is it worth studying Portuguese now, or do we wait a bit?",vale a pena
92,"Antes de sair, preciso de ver o caminho com calma.","Before I go out, I need to check the route calmly.",preciso de
93,Hoje vou preparar o almoço e depois descansar um pouco.,Today I'll prepare lunch and then rest a bit.,depois
94,"Se tiver tempo, vou organizar a secretária ainda hoje.","If I have time, I'll organize the desk today.",se tiver tempo
95,"Quando puderes, ajuda-me a ver o documento, por favor.","When you can, help me check the document, please.",por favor
96,"Hoje tenho de terminar o relatório, mas vou com calma.","Today I have to finish the report, but I'll take it calmly.",tenho de
97,"Estou a ver um filme agora, sem pressa nenhuma.","I'm watching a movie now, with no rush at all.",estou a
98,"Vale a pena arrumar a mala agora, ou esperamos um pouco?","Is it worth packing the bag now, or do we wait a bit?",vale a pena
99,Hoje vou enviar o ficheiro e depois descansar um pouco.,Today I'll send the file and then rest a bit.,depois
100,"Se tiver tempo, vou manter a calma ainda hoje.","If I have time, I'll stay calm today.",se tiver tempo
101,"Quando puderes, ajuda-me a rever a lição, por favor.","When you can, help me review the lesson, please.",por favor
102,"Hoje tenho de tratar do pedido, mas vou com calma.","Today I have to handle the request, but I'll take it calmly.",tenho de
103,"Estou a ler um artigo agora, sem pressa nenhuma.","I'm reading an article now, with no rush at all.",estou a
104,"Vale a pena fechar a porta agora, ou esperamos um pouco?","Is it worth locking the door now, or do we wait a bit?",vale a pena
105,Hoje vou ver o ficheiro e depois descansar um pouco.,Today I'll check the file and then rest a bit.,depois
106,"Se tiver tempo, vou enviar o e-mail ainda hoje.","If I have time, I'll send the email today.",se tiver tempo
107,"Quando puderes, ajuda-me a marcar a reunião, por favor.","When you can, help me schedule the meeting, please.",por favor
108,"Hoje tenho de enviar o ficheiro, mas vou com calma.","Today I have to send the file, but I'll take it calmly.",tenho de
109,"Estou a escrever o e-mail agora, sem pressa nenhuma.","I'm writing the email now, with no rush at all.",estou a
110,"Vale a pena voltar a isto agora, ou esperamos um pouco?","Is it worth coming back to this now, or do we wait a bit?",vale a pena
111,Hoje vou fazer uma pausa e depois descansar um pouco.,Today I'll take a break and then rest a bit.,depois
112,"Se tiver tempo, vou marcar a reunião ainda hoje.","If I have time, I'll schedule the meeting today.",se tiver tempo
113,"Quando puderes, ajuda-me a preparar o jantar, por favor.","When you can, help me prepare dinner, please.",por favor
114,"Hoje tenho de enviar o e-mail, mas vou com calma.","Today I have to send the email, but I'll take it calmly.",tenho de
115,"Estou a fazer uma lista agora, sem pressa nenhuma.","I'm making a list now, with no rush at all.",estou a
116,"Vale a pena respirar fundo agora, ou esperamos um pouco?","Is it worth taking a deep breath now, or do we wait a bit?",vale a pena
117,Hoje vou organizar a secretária e depois descansar um pouco.,Today I'll organize the desk and then rest a bit.,depois
118,"Se tiver tempo, vou ver uma série ainda hoje.","If I have time, I'll watch a series today.",se tiver tempo
119,"Quando puderes, ajuda-me a tratar do pedido, por favor.","When you can, help me handle the request, please.",por favor
120,"Hoje tenho de resolver o problema, mas vou com calma.","Today I have to solve the problem, but I'll take it calmly.",tenho de
121,"Estou a escrever a mensagem agora, sem pressa nenhuma.","I'm writing the message now, with no rush at all.",estou a
122,"Vale a pena começar de novo agora, ou esperamos um pouco?","Is it worth starting again now, or do we wait a bit?",vale a pena
123,Hoje vou beber água e depois descansar um pouco.,Today I'll drink water and then rest a bit.,depois
124,"Se tiver tempo, vou fazer uma caminhada ainda hoje.","If I have time, I'll go for a walk today.",se tiver tempo
125,"Hoje tenho de comprar pão, mas vou com calma.","Today I have to buy bread, but I'll take it calmly.",tenho de
126,"Estou a arrumar a casa agora, sem pressa nenhuma.","I'm tidying the house now, with no rush at all.",estou a
127,"Vale a pena ver uma série agora, ou esperamos um pouco?","Is it worth watching a series now, or do we wait a bit?",vale a pena
128,Hoje vou arrumar a casa e depois descansar um pouco.,Today I'll tidy the house and then rest a bit.,depois
129,"Se tiver tempo, vou dormir mais cedo ainda hoje.","If I have time, I'll go to sleep earlier today.",se tiver tempo
130,"Hoje tenho de fazer a compra, mas vou com calma.","Today I have to do the shopping, but I'll take it calmly.",tenho de
131,"Estou a limpar a cozinha agora, sem pressa nenhuma.","I'm cleaning the kitchen now, with no rush at all.",estou a
132,"Vale a pena ver o documento agora, ou esperamos um pouco?","Is it worth checking the document now, or do we wait a bit?",vale a pena
133,Hoje vou resolver o problema e depois descansar um pouco.,Today I'll solve the problem and then rest a bit.,depois
134,"Se tiver tempo, vou resolver o problema ainda hoje.","If I have time, I'll solve the problem today.",se tiver tempo
135,"Hoje tenho de rever a lição, mas vou com calma.","Today I have to review the lesson, but I'll take it calmly.",tenho de
136,"Estou a ver uma série agora, sem pressa nenhuma.","I'm watching a series now, with no rush at all.",estou a
137,"Vale a pena terminar o relatório agora, ou esperamos um pouco?","Is it worth finishing the report now, or do we wait a bit?",vale a pena
138,Hoje vou ver um vídeo e depois descansar um pouco.,Today I'll watch a video and then rest a bit.,depois
139,"Se tiver tempo, vou começar de novo ainda hoje.","If I have time, I'll start again today.",se tiver tempo
140,"Hoje tenho de fazer uma lista, mas vou com calma.","Today I have to make a list, but I'll take it calmly.",tenho de
141,"Estou a organizar a agenda agora, sem pressa nenhuma.","I'm organizing the schedule now, with no rush at all.",estou a
142,"Vale a pena chegar bem agora, ou esperamos um pouco?","Is it worth arriving safely now, or do we wait a bit?",vale a pena
143,Hoje vou manter a calma e depois descansar um pouco.,Today I'll stay calm and then rest a bit.,depois
144,"Se tiver tempo, vou treinar um pouco ainda hoje.","If I have time, I'll practice a little today.",se tiver tempo
145,"Hoje tenho de arrumar a mala, mas vou com calma.","Today I have to pack the bag, but I'll take it calmly.",tenho de
146,"Estou a respirar fundo agora, sem pressa nenhuma.","I'm taking a deep breath now, with no rush at all.",estou a
147,"Vale a pena fazer uma caminhada agora, ou esperamos um pouco?","Is it worth going for a walk now, or do we wait a bit?",vale a pena
148,Hoje vou não perder tempo e depois descansar um pouco.,Today I'll not waste time and then rest a bit.,depois
149,"Se tiver tempo, vou arrumar a mala ainda hoje.","If I have time, I'll pack the bag today.",se tiver tempo
150,"Hoje tenho de ver o caminho, mas vou com calma.","Today I have to check the route, but I'll take it calmly.",tenho de
151,"Estou a tratar do pedido agora, sem pressa nenhuma.","I'm handling the request now, with no rush at all.",estou a
152,"Vale a pena resolver o problema agora, ou esperamos um pouco?","Is it worth solving the problem now, or do we wait a bit?",vale a pena
153,Hoje vou preparar o jantar e depois descansar um pouco.,Today I'll prepare dinner and then rest a bit.,depois
154,"Se tiver tempo, vou procurar a chave ainda hoje.","If I have time, I'll look for the key today.",se tiver tempo
155,"Hoje tenho de comprar fruta, mas vou com calma.","Today I have to buy fruit, but I'll take it calmly.",tenho de
156,"Estou a ler um livro agora, sem pressa nenhuma.","I'm reading a book now, with no rush at all.",estou a
157,"Vale a pena descansar um pouco agora, ou esperamos um pouco?","Is it worth resting a bit now, or do we wait a bit?",vale a pena
158,Hoje vou passar por aí e depois descansar um pouco.,Today I'll drop by there and then rest a bit.,depois
159,"Se tiver tempo, vou preparar o jantar ainda hoje.","If I have time, I'll prepare dinner today.",se tiver tempo
160,"Hoje tenho de carregar o telefone, mas vou com calma.","Today I have to charge the phone, but I'll take it calmly.",tenho de
161,"Estou a resolver o problema agora, sem pressa nenhuma.","I'm solving the problem now, with no rush at all.",estou a
162,"Vale a pena manter a calma agora, ou esperamos um pouco?","Is it worth staying calm now, or do we wait a bit?",vale a pena
163,Hoje vou comprar água e depois descansar um pouco.,Today I'll buy water and then rest a bit.,depois
164,"Se tiver tempo, vou responder à mensagem ainda hoje.","If I have time, I'll reply to the message today.",se tiver tempo
165,"Hoje tenho de comprar água, mas vou com calma.","Today I have to buy water, but I'll take it calmly.",tenho de
166,"Estou a rever a lição agora, sem pressa nenhuma.","I'm reviewing the lesson now, with no rush at all.",estou a
167,"Vale a pena preparar o almoço agora, ou esperamos um pouco?","Is it worth preparing lunch now, or do we wait a bit?",vale a pena
168,Hoje vou descansar um pouco e depois descansar um pouco.,Today I'll rest a bit and then rest a bit.,depois
169,"Se tiver tempo, vou fazer a compra ainda hoje.","If I have time, I'll do the shopping today.",se tiver tempo
170,"Hoje tenho de fechar a porta, mas vou com calma.","Today I have to lock the door, but I'll take it calmly.",tenho de
171,"Estou a organizar as ideias agora, sem pressa nenhuma.","I'm organizing my thoughts now, with no rush at all.",estou a
172,"Vale a pena ver um vídeo agora, ou esperamos um pouco?","Is it worth watching a video now, or do we wait a bit?",vale a pena
173,Hoje vou respirar fundo e depois descansar um pouco.,Today I'll take a deep breath and then rest a bit.,depois
174,"Se tiver tempo, vou passar por aí ainda hoje.","If I have time, I'll drop by there today.",se tiver tempo
175,"Hoje tenho de tomar notas, mas vou com calma.","Today I have to take notes, but I'll take it calmly.",tenho de
176,"Vale a pena enviar o ficheiro agora, ou esperamos um pouco?","Is it worth sending the file now, or do we wait a bit?",vale a pena
177,Hoje vou enviar o e-mail e depois descansar um pouco.,Today I'll send the email and then rest a bit.,depois
178,"Se tiver tempo, vou organizar a agenda ainda hoje.","If I have time, I'll organize the schedule today.",se tiver tempo
179,"Hoje tenho de procurar a chave, mas vou com calma.","Today I have to look for the key, but I'll take it calmly.",tenho de
180,"Vale a pena arrumar a casa agora, ou esperamos um pouco?","Is it worth tidying the house now, or do we wait a bit?",vale a pena
181,Hoje vou dizer olá e depois descansar um pouco.,Today I'll say hi and then rest a bit.,depois
182,"Se tiver tempo, vou ver um filme ainda hoje.","If I have time, I'll watch a movie today.",se tiver tempo
183,"Hoje tenho de ver o ficheiro, mas vou com calma.","Today I have to check the file, but I'll take it calmly.",tenho de
184,"Vale a pena pensar nisso agora, ou esperamos um pouco?","Is it worth thinking about it now, or do we wait a bit?",vale a pena
185,Hoje vou confirmar a morada e depois descansar um pouco.,Today I'll confirm the address and then rest a bit.,depois
186,"Se tiver tempo, vou ler um livro ainda hoje.","If I have time, I'll read a book today.",se tiver tempo
187,"Hoje tenho de confirmar a morada, mas vou com calma.","Today I have to confirm the address, but I'll take it calmly.",tenho de
188,"Vale a pena ver isso juntos agora, ou esperamos um pouco?","Is it worth looking at that together now, or do we wait a bit?",vale a pena
189,Hoje vou responder ao e-mail e depois descansar um pouco.,Today I'll reply to the email and then rest a bit.,depois
190,"Se tiver tempo, vou confirmar a hora ainda hoje.","If I have time, I'll confirm the time today.",se tiver tempo
191,"Hoje tenho de ver a agenda, mas vou com calma.","Today I have to check the schedule, but I'll take it calmly.",tenho de
192,"Vale a pena carregar o telefone agora, ou esperamos um pouco?","Is it worth charging the phone now, or do we wait a bit?",vale a pena
193,Hoje vou ver o documento e depois descansar um pouco.,Today I'll check the document and then rest a bit.,depois
194,"Se tiver tempo, vou dizer olá ainda hoje.","If I have time, I'll say hi today.",se tiver tempo
195,"Hoje tenho de responder à mensagem, mas vou com calma.","Today I have to reply to the message, but I'll take it calmly.",tenho de
196,"Vale a pena mexer o corpo agora, ou esperamos um pouco?","Is it worth moving your body now, or do we wait a bit?",vale a pena
197,Hoje vou pagar a conta e depois descansar um pouco.,Today I'll pay the bill and then rest a bit.,depois
198,"Se tiver tempo, vou ver o documento ainda hoje.","If I have time, I'll check the document today.",se tiver tempo
199,"Hoje tenho de arrumar a casa, mas vou com calma.","Today I have to tidy the house, but I'll take it calmly.",tenho de
200,"Vale a pena confirmar a morada agora, ou esperamos um pouco?","Is it worth confirming the address now, or do we wait a bit?",vale a pena
201,Hoje vou dar um exemplo e depois descansar um pouco.,Today I'll give an example and then rest a bit.,depois
202,"Se tiver tempo, vou fechar a porta ainda hoje.","If I have time, I'll lock the door today.",se tiver tempo
203,"Hoje tenho de enviar o documento, mas vou com calma.","Today I have to send the document, but I'll take it calmly.",tenho de
204,"Vale a pena explicar isto melhor agora, ou esperamos um pouco?","Is it worth explaining this better now, or do we wait a bit?",vale a pena
205,Hoje vou mexer o corpo e depois descansar um pouco.,Today I'll move your body and then rest a bit.,depois
206,"Se tiver tempo, vou fazer isto bem ainda hoje.","If I have time, I'll do this well today.",se tiver tempo
207,"Vale a pena comprar água agora, ou esperamos um pouco?","Is it worth buying water now, or do we wait a bit?",vale a pena
208,Hoje vou estudar português e depois descansar um pouco.,Today I'll study Portuguese and then rest a bit.,depois
209,"Se tiver tempo, vou explicar isto melhor ainda hoje.","If I have time, I'll explain this better today.",se tiver tempo
210,"Vale a pena responder à mensagem agora, ou esperamos um pouco?","Is it worth replying to the message now, or do we wait a bit?",vale a pena
211,Hoje vou ler um artigo e depois descansar um pouco.,Today I'll read an article and then rest a bit.,depois
212,"Se tiver tempo, vou fazer um café ainda hoje.","If I have time, I'll make a coffee today.",se tiver tempo
213,"Vale a pena rever a lição agora, ou esperamos um pouco?","Is it worth reviewing the lesson now, or do we wait a bit?",vale a pena
214,Hoje vou acordar cedo e depois descansar um pouco.,Today I'll wake up early and then rest a bit.,depois
215,"Se tiver tempo, vou pagar a conta ainda hoje.","If I have time, I'll pay the bill today.",se tiver tempo
216,"Vale a pena fazer a compra agora, ou esperamos um pouco?","Is it worth doing the shopping now, or do we wait a bit?",vale a pena
217,Hoje vou comprar pão e depois descansar um pouco.,Today I'll buy bread and then rest a bit.,depois
218,"Se tiver tempo, vou beber água ainda hoje.","If I have time, I'll drink water today.",se tiver tempo
219,"Vale a pena pagar a conta agora, ou esperamos um pouco?","Is it worth paying the bill now, or do we wait a bit?",vale a pena
220,Hoje vou organizar a agenda e depois descansar um pouco.,Today I'll organize the schedule and then rest a bit.,depois
221,"Se tiver tempo, vou fazer uma lista ainda hoje.","If I have time, I'll make a list today.",se tiver tempo
222,"Vale a pena responder ao e-mail agora, ou esperamos um pouco?","Is it worth replying to the email now, or do we wait a bit?",vale a pena
223,Hoje vou fazer a compra e depois descansar um pouco.,Today I'll do the shopping and then rest a bit.,depois
224,"Se tiver tempo, vou tomar notas ainda hoje.","If I have time, I'll take notes today.",se tiver tempo
225,"Vale a pena fazer uma pausa agora, ou esperamos um pouco?","Is it worth taking a break now, or do we wait a bit?",vale a pena
226,Hoje vou dormir mais cedo e depois descansar um pouco.,Today I'll go to sleep earlier and then rest a bit.,depois
227,"Se tiver tempo, vou fazer uma pausa ainda hoje.","If I have time, I'll take a break today.",se tiver tempo
228,"Vale a pena dar um exemplo agora, ou esperamos um pouco?","Is it worth giving an example now, or do we wait a bit?",vale a pena
229,Hoje vou começar de novo e depois descansar um pouco.,Today I'll start again and then rest a bit.,depois
230,"Se tiver tempo, vou ver o ficheiro ainda hoje.","If I have time, I'll check the file today.",se tiver tempo
231,"Vale a pena enviar o e-mail agora, ou esperamos um pouco?","Is it worth sending the email now, or do we wait a bit?",vale a pena
232,Hoje vou não complicar isto e depois descansar um pouco.,Today I'll not complicate this and then rest a bit.,depois
233,"Se tiver tempo, vou acordar cedo ainda hoje.","If I have time, I'll wake up early today.",se tiver tempo
234,"Vale a pena não perder tempo agora, ou esperamos um pouco?","Is it worth not wasting time now, or do we wait a bit?",vale a pena
235,Hoje vou ver o caminho e depois descansar um pouco.,Today I'll check the route and then rest a bit.,depois
236,"Se tiver tempo, vou parar um minuto ainda hoje.","If I have time, I'll stop for a minute today.",se tiver tempo
237,"Vale a pena procurar a chave agora, ou esperamos um pouco?","Is it worth looking for the key now, or do we wait a bit?",vale a pena
238,Hoje vou escrever o e-mail e depois descansar um pouco.,Today I'll write the email and then rest a bit.,depois
239,"Se tiver tempo, vou mandar uma mensagem ainda hoje.","If I have time, I'll send a message today.",se tiver tempo
240,"Vale a pena parar um minuto agora, ou esperamos um pouco?","Is it worth stopping for a minute now, or do we wait a bit?",vale a pena
241,Hoje vou ver uma série e depois descansar um pouco.,Today I'll watch a series and then rest a bit.,depois
242,"Se tiver tempo, vou responder ao e-mail ainda hoje.","If I have time, I'll reply to the email today.",se tiver tempo
243,"Vale a pena confirmar a hora agora, ou esperamos um pouco?","Is it worth confirming the time now, or do we wait a bit?",vale a pena
244,Hoje vou procurar a chave e depois descansar um pouco.,Today I'll look for the key and then rest a bit.,depois
245,"Se tiver tempo, vou mexer o corpo ainda hoje.","If I have time, I'll move your body today.",se tiver tempo
246,"Vale a pena ver o caminho agora, ou esperamos um pouco?","Is it worth checking the route now, or do we wait a bit?",vale a pena
247,Hoje vou responder à mensagem e depois descansar um pouco.,Today I'll reply to the message and then rest a bit.,depois
248,"Se tiver tempo, vou escrever o e-mail ainda hoje.","If I have time, I'll write the email today.",se tiver tempo
249,"Vale a pena ler um artigo agora, ou esperamos um pouco?","Is it worth reading an article now, or do we wait a bit?",vale a pena
250,Hoje vou pensar nisso e depois descansar um pouco.,Today I'll think about it and then rest a bit.,depois
251,"Se tiver tempo, vou enviar o ficheiro ainda hoje.","If I have time, I'll send the file today.",se tiver tempo
252,"Vale a pena dar um passeio agora, ou esperamos um pouco?","Is it worth taking a walk now, or do we wait a bit?",vale a pena
253,Hoje vou parar um minuto e depois descansar um pouco.,Today I'll stop for a minute and then rest a bit.,depois
254,"Se tiver tempo, vou não complicar isto ainda hoje.","If I have time, I'll not complicate this today.",se tiver tempo
255,"Vale a pena ver a agenda agora, ou esperamos um pouco?","Is it worth checking the schedule now, or do we wait a bit?",vale a pena
256,Hoje vou voltar a isto e depois descansar um pouco.,Today I'll come back to this and then rest a bit.,depois
257,"Se tiver tempo, vou ver a agenda ainda hoje.","If I have time, I'll check the schedule today.",se tiver tempo
258,"Vale a pena pedir ajuda agora, ou esperamos um pouco?","Is it worth asking for help now, or do we wait a bit?",vale a pena
259,Hoje vou ler um livro e depois descansar um pouco.,Today I'll read a book and then rest a bit.,depois
260,"Se tiver tempo, vou descansar um pouco ainda hoje.","If I have time, I'll rest a bit today.",se tiver tempo
261,"Vale a pena passar por aí agora, ou esperamos um pouco?","Is it worth dropping by there now, or do we wait a bit?",vale a pena
262,Hoje vou treinar um pouco e depois descansar um pouco.,Today I'll practice a little and then rest a bit.,depois
263,"Se tiver tempo, vou voltar a isto ainda hoje.","If I have time, I'll come back to this today.",se tiver tempo
264,"Vale a pena tomar notas agora, ou esperamos um pouco?","Is it worth taking notes now, or do we wait a bit?",vale a pena
265,Hoje vou fazer uma caminhada e depois descansar um pouco.,Today I'll go for a walk and then rest a bit.,depois
266,"Se tiver tempo, vou enviar o documento ainda hoje.","If I have time, I'll send the document today.",se tiver tempo
267,"Vale a pena praticar português agora, ou esperamos um pouco?","Is it worth practicing Portuguese now, or do we wait a bit?",vale a pena
268,Hoje vou dar um passeio e depois descansar um pouco.,Today I'll take a walk and then rest a bit.,depois
269,"Se tiver tempo, vou seguir em frente ainda hoje.","If I have time, I'll move forward today.",se tiver tempo
